Date,Close
7/13/2022,30.84
7/14/2022,30.13
7/15/2022,32.25
7/18/2022,32.26
7/19/2022,33.35
7/20/2022,33.36
7/21/2022,33.65
7/22/2022,33.43
7/25/2022,33.73
7/26/2022,33.05
7/27/2022,33.59
7/28/2022,33.32
7/29/2022,33.81
8/1/2022,33.71
8/2/2022,33.04
8/3/2022,33.64
8/4/2022,33.4
8/5/2022,33.96
8/8/2022,33.49
8/9/2022,33.92
8/10/2022,35.07
8/11/2022,35.91
8/12/2022,36.3
8/15/2022,36.25
8/16/2022,36.64
8/17/2022,36.41
8/18/2022,36.28
8/19/2022,35.48
8/22/2022,34.72
8/23/2022,34.41
8/24/2022,34.52
8/25/2022,35.14
8/26/2022,34.03
8/29/2022,33.9
8/30/2022,34.09
8/31/2022,33.61
9/1/2022,33.47
9/2/2022,33.43
9/6/2022,33.06
9/7/2022,33.57
9/8/2022,34.65
9/9/2022,34.94
9/12/2022,35.27
9/13/2022,34
9/14/2022,33.87
9/15/2022,34.51
9/16/2022,34.12
9/19/2022,34.69
9/20/2022,34.17
9/21/2022,33.15
9/22/2022,32.5
9/23/2022,31.73
9/26/2022,31.03
9/27/2022,30.57
9/28/2022,31.07
9/29/2022,30.66
9/30/2022,30.2
10/3/2022,31.09
10/4/2022,32.38
10/5/2022,31.92
10/6/2022,31.46
10/7/2022,30.75
10/10/2022,30.66
10/11/2022,29.77
10/12/2022,29.86
10/13/2022,31.69
10/14/2022,31.7
10/17/2022,33.62
10/18/2022,34.88
10/19/2022,33.92
10/20/2022,33.7
10/21/2022,34.95
10/24/2022,35.07
10/25/2022,35.39
10/26/2022,35.7
10/27/2022,35.87
10/28/2022,36.18
10/31/2022,36.04
11/1/2022,36.2
11/2/2022,36.09
11/3/2022,35.89
11/4/2022,36.79
11/7/2022,37.01
11/8/2022,37.11
11/9/2022,36.52
11/10/2022,38.13
11/11/2022,38.41
11/14/2022,37.76
11/15/2022,37.7
11/16/2022,37.36
11/17/2022,37.17
11/18/2022,37.19
11/21/2022,37.31
11/22/2022,37.49
11/23/2022,37.61
11/25/2022,37.7
11/28/2022,36.86
11/29/2022,37
11/30/2022,37.85
12/1/2022,36.55
12/2/2022,36.08
12/5/2022,34.47
12/6/2022,33
12/7/2022,32.74
12/8/2022,32.44
12/9/2022,32.38
12/12/2022,32.73
12/13/2022,32.75
12/14/2022,32.28
12/15/2022,31.77
12/16/2022,31.7
12/19/2022,32.06
12/20/2022,32.19
12/21/2022,32.68
12/22/2022,32.39
12/23/2022,32.47
12/27/2022,32.53
12/28/2022,32.77
12/29/2022,33.14
12/30/2022,33.12
1/3/2023,33.51
1/4/2023,34.14
1/5/2023,34.07
1/6/2023,34.41
1/9/2023,33.89
1/10/2023,34.12
1/11/2023,34.38
1/12/2023,34.47
1/13/2023,35.23
1/17/2023,34.52
1/18/2023,33.72
1/19/2023,33.23
1/20/2023,33.85
1/23/2023,34.32
1/24/2023,34.57
1/25/2023,34.87
1/26/2023,35.34
1/27/2023,35.45
1/30/2023,35.3
1/31/2023,35.48
2/1/2023,35.92
2/2/2023,36.13
2/3/2023,36.43
2/6/2023,36.37
2/7/2023,36.77
2/8/2023,36.5
2/9/2023,35.72
2/10/2023,35.58
2/13/2023,35.65
2/14/2023,35.62
2/15/2023,35.56
2/16/2023,35.28
2/17/2023,35.35
2/21/2023,34.52
2/22/2023,34.29
2/23/2023,34.26
2/24/2023,34.21
2/27/2023,34.21
2/28/2023,34.3
3/1/2023,34.14
3/2/2023,33.49
3/3/2023,34.16
3/6/2023,34.09
3/7/2023,33
3/8/2023,32.56
3/9/2023,30.54
3/10/2023,30.27
3/13/2023,28.51
3/14/2023,28.76
3/15/2023,28.49
3/16/2023,28.97
3/17/2023,27.82
3/20/2023,27.75
3/21/2023,28.59
3/22/2023,27.64
3/23/2023,26.97
3/24/2023,27.14
3/27/2023,28.49
3/28/2023,28.12
3/29/2023,28.67
3/30/2023,28.3
3/31/2023,28.6
4/3/2023,28.59
4/4/2023,27.98
4/5/2023,27.64
4/6/2023,27.84
4/10/2023,27.94
4/11/2023,28.71
4/12/2023,28.48
4/13/2023,28.56
4/14/2023,29.52
4/17/2023,30.37
4/18/2023,30.56
4/19/2023,30.06
4/20/2023,29.9
4/21/2023,29.87
4/24/2023,29.76
4/25/2023,28.84
4/26/2023,28.44
4/27/2023,28.89
4/28/2023,29.28
5/1/2023,29.04
5/2/2023,28.16
5/3/2023,27.86
5/4/2023,26.99
5/5/2023,27.71
5/8/2023,27.69
5/9/2023,27.66
5/10/2023,27.32
5/11/2023,27.39
5/12/2023,27.09
5/15/2023,27.65
5/16/2023,27.36
5/17/2023,28.57
5/18/2023,28.47
5/19/2023,28.11
5/22/2023,28.34
5/23/2023,28.58
5/24/2023,28.1
5/25/2023,28.17
5/26/2023,28.31
5/30/2023,28.26
5/31/2023,27.79
6/1/2023,27.78
6/2/2023,28.71
6/5/2023,28.54
6/6/2023,29.23
6/7/2023,29.48
6/8/2023,29.23
6/9/2023,29.27
6/12/2023,29.13
6/13/2023,29.4
6/14/2023,29.12
6/15/2023,29.37
6/16/2023,29.19
6/20/2023,28.87
6/21/2023,28.57
6/22/2023,27.96
6/23/2023,27.75
6/26/2023,28.09
6/27/2023,28.24
6/28/2023,28.07
6/29/2023,28.66
6/30/2023,28.69
7/3/2023,29.2
7/5/2023,29.08
7/6/2023,28.28
7/7/2023,28.53
7/10/2023,28.66
7/11/2023,29.02
7/12/2023,29.36
7/13/2023,29.67
